Sample name	Cruise series	GEOTRACES section	Cruise ID	Cruise Station	Collection Date	Depth (m)	env_biome	env_feature	env_material	geo_loc_name	Latitude and Longitude	Bottle ID	NCBI BioProject	NCBI SRA Study	NCBI BioSample	NCBI SRA Accession	Total read pairs	NCBI SRA Accession for assembled metagenome contigs	Assembly method and version	Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	BODC Station	'Operator''s Cruise Name'	Cruise Report	Project Name	Ship Name	Period	Chief Scientist	GEOTRACES Scientist	PRESSURE [dbar]	Photic.Zone
S0209	GEOTRACES	GA02	JC057	1	2011-03-05T20:56:00	10	ocean_biome	ocean	water	Atlantic Ocean	49.5475 S 52.6885 W	637580	PRJNA385854	SRP110813	SAMN07136678	SRR5788347	19573073	SRZ187401	metaSPAdes v3.9.0	GA02	1	B	2011-03-05T19:28:00	307.31189	-49.5472	2322	1629547	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	10.1	euphotic
S0210	GEOTRACES	GA02	JC057	1	2011-03-05T20:56:00	49	ocean_biome	ocean	water	Atlantic Ocean	49.5475 S 52.6885 W	637574	PRJNA385854	SRP110813	SAMN07136679	SRR5788350	30987812	SRZ187402	metaSPAdes v3.9.0	GA02	1	B	2011-03-05T19:28:00	307.31189	-49.5472	2322	1629547	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	49.4	euphotic
S0211	GEOTRACES	GA02	JC057	2	2011-03-06T19:40:00	11	ocean_biome	ocean	water	Atlantic Ocean	48.9358 S 48.7933 W	637724	PRJNA385854	SRP110813	SAMN07136680	SRR5788349	25669096	SRZ187403	metaSPAdes v3.9.0	GA02	2	B	2011-03-06T23:17:05	311.26529	-48.8942	5900	1629582	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	11.1	euphotic
S0212	GEOTRACES	GA02	JC057	2	2011-03-06T19:40:00	51	ocean_biome	ocean	water	Atlantic Ocean	48.9358 S 48.7933 W	637718	PRJNA385854	SRP110813	SAMN07136681	SRR5788346	28654274	SRZ187404	metaSPAdes v3.9.0	GA02	2	B	2011-03-06T23:17:05	311.26529	-48.8942	5900	1629582	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	51.4	euphotic
S0213	GEOTRACES	GA02	JC057	2	2011-03-06T19:40:00	150	ocean_biome	ocean	water	Atlantic Ocean	48.9358 S 48.7933 W	637709	PRJNA385854	SRP110813	SAMN07136682	SRR5788345	21335937	SRZ187405	metaSPAdes v3.9.0	GA02	2	B	2011-03-06T23:17:05	311.26529	-48.8942	5900	1629582	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	151.3	non-euphotic
S0214	GEOTRACES	GA02	JC057	3	2011-03-08T03:21:00	10	ocean_biome	ocean	water	Atlantic Ocean	46.907 S 47.179 W	638012	PRJNA385854	SRP110813	SAMN07136683	SRR5788104	24326587	SRZ187406	metaSPAdes v3.9.0	GA02	3	B	2011-03-08T01:17:58	312.80042	-46.92	5733	1629596	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	10.1	euphotic
S0215	GEOTRACES	GA02	JC057	3	2011-03-08T03:21:00	51	ocean_biome	ocean	water	Atlantic Ocean	46.907 S 47.179 W	638006	PRJNA385854	SRP110813	SAMN07136684	SRR5788103	22973602	SRZ187407	metaSPAdes v3.9.0	GA02	3	B	2011-03-08T01:17:58	312.80042	-46.92	5733	1629596	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	51.4	euphotic
S0216	GEOTRACES	GA02	JC057	3	2011-03-08T03:21:00	151	ocean_biome	ocean	water	Atlantic Ocean	46.907 S 47.179 W	637997	PRJNA385854	SRP110813	SAMN07136685	SRR5788106	20401030	SRZ187408	metaSPAdes v3.9.0	GA02	3	B	2011-03-08T01:17:58	312.80042	-46.92	5733	1629596	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	152.3	non-euphotic
S0217	GEOTRACES	GA02	JC057	4	2011-03-09T03:22:00	10	ocean_biome	ocean	water	Atlantic Ocean	44.7117 S 45.5265 W	638156	PRJNA385854	SRP110813	SAMN07136686	SRR5788105	24739783	SRZ187409	metaSPAdes v3.9.0	GA02	4	B	2011-03-09T01:31:58	314.4639	-44.7068	5063	1629610	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	10.1	euphotic
S0218	GEOTRACES	GA02	JC057	4	2011-03-09T03:22:00	51	ocean_biome	ocean	water	Atlantic Ocean	44.7117 S 45.5265 W	638150	PRJNA385854	SRP110813	SAMN07136687	SRR5788100	24077900	SRZ187410	metaSPAdes v3.9.0	GA02	4	B	2011-03-09T01:31:58	314.4639	-44.7068	5063	1629610	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	51.4	euphotic
S0219	GEOTRACES	GA02	JC057	4	2011-03-09T03:22:00	149	ocean_biome	ocean	water	Atlantic Ocean	44.7117 S 45.5265 W	638141	PRJNA385854	SRP110813	SAMN07136688	SRR5788099	22869731	SRZ187411	metaSPAdes v3.9.0	GA02	4	B	2011-03-09T01:31:58	314.4639	-44.7068	5063	1629610	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	150.3	non-euphotic
S0220	GEOTRACES	GA02	JC057	5	2011-03-10T02:43:00	10	ocean_biome	ocean	water	Atlantic Ocean	42.364 S 44.0318 W	638300	PRJNA385854	SRP110813	SAMN07136689	SRR5788060	25044040	SRZ187412	metaSPAdes v3.9.0	GA02	5	B	2011-03-10T00:58:29	315.97421	-42.3713	5159	1629624	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	10.1	euphotic
S0221	GEOTRACES	GA02	JC057	5	2011-03-10T02:43:00	50	ocean_biome	ocean	water	Atlantic Ocean	42.364 S 44.0318 W	638294	PRJNA385854	SRP110813	SAMN07136690	SRR5788059	20689131	SRZ187413	metaSPAdes v3.9.0	GA02	5	B	2011-03-10T00:58:29	315.97421	-42.3713	5159	1629624	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	50.4	euphotic
S0222	GEOTRACES	GA02	JC057	5	2011-03-10T02:43:00	150	ocean_biome	ocean	water	Atlantic Ocean	42.364 S 44.0318 W	638285	PRJNA385854	SRP110813	SAMN07136691	SRR5788048	18166045	SRZ187414	metaSPAdes v3.9.0	GA02	5	B	2011-03-10T00:58:29	315.97421	-42.3713	5159	1629624	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	151.2	non-euphotic
S0223	GEOTRACES	GA02	JC057	6	2011-03-11T02:17:00	10	ocean_biome	ocean	water	Atlantic Ocean	39.9648 S 42.4232 W	636995	PRJNA385854	SRP110813	SAMN07136692	SRR5788047	27158330	SRZ187415	metaSPAdes v3.9.0	GA02	6	B	2011-03-11T03:14:21	317.5834	-39.9632	5147	1629652	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	10.1	euphotic
S0224	GEOTRACES	GA02	JC057	6	2011-03-11T02:17:00	50	ocean_biome	ocean	water	Atlantic Ocean	39.9648 S 42.4232 W	636989	PRJNA385854	SRP110813	SAMN07136693	SRR5788190	19325678	SRZ187416	metaSPAdes v3.9.0	GA02	6	B	2011-03-11T03:14:21	317.5834	-39.9632	5147	1629652	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	50.4	euphotic
S0225	GEOTRACES	GA02	JC057	6	2011-03-11T02:17:00	149	ocean_biome	ocean	water	Atlantic Ocean	39.9648 S 42.4232 W	636980	PRJNA385854	SRP110813	SAMN07136694	SRR5787992	34436503	SRZ187417	metaSPAdes v3.9.0	GA02	6	B	2011-03-11T03:14:21	317.5834	-39.9632	5147	1629652	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	150.2	non-euphotic
S0226	GEOTRACES	GA02	JC057	7	2011-03-12T01:56:00	9	ocean_biome	ocean	water	Atlantic Ocean	37.8305 S 41.1248 W	637139	PRJNA385854	SRP110813	SAMN07136695	SRR5787989	22895492	SRZ187418	metaSPAdes v3.9.0	GA02	7	B	2011-03-12T05:31:51	318.86911	-37.8398	5047	1629673	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	9.1	euphotic
S0227	GEOTRACES	GA02	JC057	7	2011-03-12T01:56:00	50	ocean_biome	ocean	water	Atlantic Ocean	37.8305 S 41.1248 W	637133	PRJNA385854	SRP110813	SAMN07136696	SRR5787990	18691363	SRZ187419	metaSPAdes v3.9.0	GA02	7	B	2011-03-12T05:31:51	318.86911	-37.8398	5047	1629673	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	50.4	euphotic
S0228	GEOTRACES	GA02	JC057	7	2011-03-12T01:56:00	148	ocean_biome	ocean	water	Atlantic Ocean	37.8305 S 41.1248 W	637124	PRJNA385854	SRP110813	SAMN07136697	SRR5788467	18234842	SRZ187420	metaSPAdes v3.9.0	GA02	7	B	2011-03-12T05:31:51	318.86911	-37.8398	5047	1629673	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	149.2	?
S0229	GEOTRACES	GA02	JC057	8	2011-03-13T13:43:00	11	ocean_biome	ocean	water	Atlantic Ocean	35.0093 S 39.431 W	637418	PRJNA385854	SRP110813	SAMN07136698	SRR5788468	23750415	SRZ187421	metaSPAdes v3.9.0	GA02	8	B	2011-03-13T11:25:00	320.5632	-35.0088	4850	1629687	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	11.1	euphotic
S0177	GEOTRACES	GA02	JC057	8	2011-03-13T13:43:00	49	ocean_biome	ocean	water	Atlantic Ocean	35.0093 S 39.431 W	637412	PRJNA385854	SRP110813	SAMN07136648	SRR5788380	48743675	SRZ187371	metaSPAdes v3.9.0	GA02	8	B	2011-03-13T11:25:00	320.5632	-35.0088	4850	1629687	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	49.4	euphotic
S0178	GEOTRACES	GA02	JC057	8	2011-03-13T13:43:00	151	ocean_biome	ocean	water	Atlantic Ocean	35.0093 S 39.431 W	637403	PRJNA385854	SRP110813	SAMN07136649	SRR5788381	27087463	SRZ187372	metaSPAdes v3.9.0	GA02	8	B	2011-03-13T11:25:00	320.5632	-35.0088	4850	1629687	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	152.2	?
S0179	GEOTRACES	GA02	JC057	9	2011-03-14T18:45:00	10	ocean_biome	ocean	water	Atlantic Ocean	32.092 S 37.4563 W	639548	PRJNA385854	SRP110813	SAMN07136650	SRR5788382	27291600	SRZ187373	metaSPAdes v3.9.0	GA02	9	B	2011-03-14T17:22:26	322.54071	-32.0894	4133	1629701	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	10.1	euphotic
S0180	GEOTRACES	GA02	JC057	9	2011-03-14T18:45:00	149	ocean_biome	ocean	water	Atlantic Ocean	32.092 S 37.4563 W	639533	PRJNA385854	SRP110813	SAMN07136651	SRR5788383	32512613	SRZ187374	metaSPAdes v3.9.0	GA02	9	B	2011-03-14T17:22:26	322.54071	-32.0894	4133	1629701	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	150.1	?
S0181	GEOTRACES	GA02	JC057	10	2011-03-15T23:40:00	11	ocean_biome	ocean	water	Atlantic Ocean	29.0538 S 35.8078 W	639692	PRJNA385854	SRP110813	SAMN07136652	SRR5788384	27483914	SRZ187375	metaSPAdes v3.9.0	GA02	10	B	2011-03-15T22:09:00	324.20401	-29.0579	3852	1629722	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	11.1	euphotic
S0182	GEOTRACES	GA02	JC057	10	2011-03-15T23:40:00	50	ocean_biome	ocean	water	Atlantic Ocean	29.0538 S 35.8078 W	639686	PRJNA385854	SRP110813	SAMN07136653	SRR5788024	24654021	SRZ187376	metaSPAdes v3.9.0	GA02	10	B	2011-03-15T22:09:00	324.20401	-29.0579	3852	1629722	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	50.3	euphotic
S0183	GEOTRACES	GA02	JC057	10	2011-03-15T23:40:00	150	ocean_biome	ocean	water	Atlantic Ocean	29.0538 S 35.8078 W	639677	PRJNA385854	SRP110813	SAMN07136654	SRR5788023	21896245	SRZ187377	metaSPAdes v3.9.0	GA02	10	B	2011-03-15T22:09:00	324.20401	-29.0579	3852	1629722	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	151.1	?
S0184	GEOTRACES	GA02	JC057	11	2011-03-17T00:34:00	10	ocean_biome	ocean	water	Atlantic Ocean	26.0867 S 34.2585 W	639764	PRJNA385854	SRP110813	SAMN07136655	SRR5788022	26689064	SRZ187378	metaSPAdes v3.9.0	GA02	11	B	2011-03-17T04:12:46	325.72089	-26.0891	4575	1629743	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	10.1	euphotic
S0185	GEOTRACES	GA02	JC057	11	2011-03-17T00:34:00	50	ocean_biome	ocean	water	Atlantic Ocean	26.0867 S 34.2585 W	639758	PRJNA385854	SRP110813	SAMN07136656	SRR5788021	26859299	SRZ187379	metaSPAdes v3.9.0	GA02	11	B	2011-03-17T04:12:46	325.72089	-26.0891	4575	1629743	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	50.3	euphotic
S0186	GEOTRACES	GA02	JC057	11	2011-03-17T00:34:00	151	ocean_biome	ocean	water	Atlantic Ocean	26.0867 S 34.2585 W	639749	PRJNA385854	SRP110813	SAMN07136657	SRR5788020	31208500	SRZ187380	metaSPAdes v3.9.0	GA02	11	B	2011-03-17T04:12:46	325.72089	-26.0891	4575	1629743	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	152	?
S0187	GEOTRACES	GA02	JC057	12	2011-03-18T14:16:00	9	ocean_biome	ocean	water	Atlantic Ocean	22.4732 S 32.7487 W	638351	PRJNA385854	SRP110813	SAMN07136658	SRR5788019	41426131	SRZ187381	metaSPAdes v3.9.0	GA02	12	B	2011-03-18T14:57:16	327.25562	-22.4715	4527	1629771	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	9.1	euphotic
S0188	GEOTRACES	GA02	JC057	12	2011-03-18T14:16:00	49	ocean_biome	ocean	water	Atlantic Ocean	22.4732 S 32.7487 W	638345	PRJNA385854	SRP110813	SAMN07136659	SRR5788018	39189883	SRZ187382	metaSPAdes v3.9.0	GA02	12	B	2011-03-18T14:57:16	327.25562	-22.4715	4527	1629771	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	49.3	euphotic
S0189	GEOTRACES	GA02	JC057	12	2011-03-18T14:16:00	150	ocean_biome	ocean	water	Atlantic Ocean	22.4732 S 32.7487 W	638336	PRJNA385854	SRP110813	SAMN07136660	SRR5788017	29302170	SRZ187383	metaSPAdes v3.9.0	GA02	12	B	2011-03-18T14:57:16	327.25562	-22.4715	4527	1629771	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	151	?
S0190	GEOTRACES	GA02	JC057	13	2011-03-20T14:54:00	49	ocean_biome	ocean	water	Atlantic Ocean	17.0173 S 30.6052 W	638561	PRJNA385854	SRP110813	SAMN07136661	SRR5788016	27855556	SRZ187384	metaSPAdes v3.9.0	GA02	13	B	2011-03-20T13:07:00	329.40079	-17.0168	4911	1629785	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	49.3	euphotic
S0195	GEOTRACES	GA02	JC057	13	2011-03-20T14:54:00	143	ocean_biome	ocean	water	Atlantic Ocean	17.0173 S 30.6052 W	638552	PRJNA385854	SRP110813	SAMN07136665	SRR5788186	19642047	SRZ187388	metaSPAdes v3.9.0	GA02	13	B	2011-03-20T13:07:00	329.40079	-17.0168	4911	1629785	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	143.9	euphotic
S0191	GEOTRACES	GA02	JC057	14	2011-03-22T01:00:00	10	ocean_biome	ocean	water	Atlantic Ocean	12.8957 S 29.2335 W	638711	PRJNA385854	SRP110813	SAMN07136662	SRR5788015	23901114	SRZ187385	metaSPAdes v3.9.0	GA02	14	B	2011-03-21T23:46:41	330.77271	-12.894	5407	1629799	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	10.1	euphotic
S0192	GEOTRACES	GA02	JC057	14	2011-03-22T01:00:00	49	ocean_biome	ocean	water	Atlantic Ocean	12.8957 S 29.2335 W	638705	PRJNA385854	SRP110813	SAMN07136663	SRR5788188	29059113	SRZ187386	metaSPAdes v3.9.0	GA02	14	B	2011-03-21T23:46:41	330.77271	-12.894	5407	1629799	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	49.3	euphotic
S0193	GEOTRACES	GA02	JC057	14	2011-03-22T01:00:00	149	ocean_biome	ocean	water	Atlantic Ocean	12.8957 S 29.2335 W	638696	PRJNA385854	SRP110813	SAMN07136664	SRR5788189	23175848	SRZ187387	metaSPAdes v3.9.0	GA02	14	B	2011-03-21T23:46:41	330.77271	-12.894	5407	1629799	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	149.9	euphotic
S0196	GEOTRACES	GA02	JC057	15	2011-03-23T11:11:00	10	ocean_biome	ocean	water	Atlantic Ocean	9.1608 S 28.0012 W	638855	PRJNA385854	SRP110813	SAMN07136666	SRR5788187	19005470	SRZ187389	metaSPAdes v3.9.0	GA02	15	B	2011-03-23T09:15:29	332	-9.15415	5628	1629820	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	10.1	euphotic
S0197	GEOTRACES	GA02	JC057	15	2011-03-23T11:11:00	50	ocean_biome	ocean	water	Atlantic Ocean	9.1608 S 28.0012 W	638849	PRJNA385854	SRP110813	SAMN07136667	SRR5788184	21337418	SRZ187390	metaSPAdes v3.9.0	GA02	15	B	2011-03-23T09:15:29	332	-9.15415	5628	1629820	JC057	JC057_leg3.pdf		RRS James Cook	Mar - Apr 2011	Micha J.A. Rijkenberg	Hein de Baar	50.3	euphotic
